"","salinity","temperature","oxygen","fluo"
"781373",33.38,11.519,6.08,0.271841606536499
"781376",33.506,11.567,6.11,0.222716471147583
"781378",33.407,11.591,6.14,0.287801729930226
"781381",33.428,11.677,6.22,0.230448921378274
"781384",33.498,11.69,6.26,0.267171728403014
"781387",33.515,11.764,6.32,0.278753600952829
"781389",33.646,11.692,6.14,0.292256071356476
"781391",33.856,11.495,5.99,0.243038048686294
"781393",33.636,11.693,6.19,0.28330122870355
"781396",33.699,11.6,6.15,0.28330122870355
"781399",33.734,11.597,5.96,0.269512944217916
"781401",33.863,11.519,5.9,0.318063334962762
"781403",33.544,11.542,6.03,0.322219294733919
"781405",33.688,11.529,5.95,0.313867220369153
"781407",33.68,11.519,5.91,0.309630167425899
"781410",33.655,11.519,6.08,0.332438459915605
"781412",33.583,11.534,6.15,0.3654879848909
"781415",33.576,11.539,6.17,0.346352974450639
"781418",33.538,11.535,6.16,0.372912002970107
"781420",33.554,11.527,6.01,0.380211241711606
"781422",33.376,11.538,6.14,0.376576957056512
"781424",33.515,11.525,6.12,0.403120521175818
"781426",33.547,11.52,5.88,0.3654879848909
"781429",33.378,11.562,6.17,0.357934847000454
"781431",33.473,11.524,6.11,0.334453751150931
"781433",33.458,11.519,6.13,0.372912002970107
"781435",33.468,11.494,6.06,0.369215857410143
"781437",33.471,11.504,6.1,0.389166084364532
"781439",33.362,11.529,6.14,0.344392273685111
"781441",33.232,11.572,5.92,0.40823996531185
"781443",33.13,11.579,6.08,0.413299764081252
"781445",33.023,11.586,6.05,0.389166084364532
"781448",33.171,11.571,6.06,0.389166084364532
"781451",33.229,11.472,6.08,0.419955748489758
"781454",33.231,11.491,6.01,0.344392273685111
"781456",33.246,11.488,6,0.326335860928751
"781458",33.244,11.502,6.08,0.372912002970107
"781461",33.522,11.499,6.04,0.354108439147401
"781463",33.399,11.465,6.03,0.359835482339888
"781465",33.392,11.463,5.82,0.342422680822206
"781468",33.424,11.457,5.94,0.359835482339888
"781470",33.501,11.444,5.95,0.334453751150931
"781472",33.568,11.443,5.93,0.322219294733919
"781475",33.627,11.426,5.84,0.320146286111054
"781478",33.556,11.434,5.95,0.340444114840118
"781480",33.79,11.399,5.94,0.367355921026019
"781482",33.782,11.392,5.83,0.324282455297693
"781485",33.791,11.4,5.9,0.326335860928751
"781488",33.798,11.399,6.02,0.334453751150931
"781490",33.657,11.406,6,0.338456493604605
"781493",33.665,11.378,5.85,0.28330122870355
"781495",33.593,11.47,6.12,0.292256071356476
"781497",33.459,11.488,6.11,0.305351369446624
"781499",33.489,11.479,6.1,0.305351369446624
"781502",33.494,11.474,6.12,0.281033367247728
"781504",33.521,11.479,6.13,0.264817823009536
"781506",33.5,11.488,6.13,0.296665190261531
"781509",33.554,11.479,6.09,0.322219294733919
"781512",33.563,11.481,6.01,0.227886704613674
"781514",33.508,11.501,6.09,0.225309281725863
"781516",33.333,11.562,6.18,0.243038048686294
"781519",33.428,11.625,6.32,0.252853030979893
"781521",33.434,11.559,6.02,0.257678574869184
"781524",33.276,11.614,6.15,0.222716471147583
"781526",33.006,11.66,6.19,0.235528446907549
"781528",32.926,11.719,6.24,0.209515014542631
