;TAXO_VERNACUL;annee;mois;nb
3116;Bécasseau maubèche;2003;8;1
3117;Bécasseau sanderling;2003;8;153,5
3118;Bécasseau variable;2003;8;642,5
3119;Canard chipeau;2003;8;1,5
3120;Canard colvert;2003;8;257,5
3121;Canard souchet;2003;8;4,75
3122;Courlis cendré;2003;8;455
3123;Grand Gravelot;2003;8;199,5
3124;Huîtrier pie;2003;8;866
3125;Macreuse noire;2003;8;32
3126;Pluvier argenté;2003;8;19
3127;Sarcelle d'hiver;2003;8;7
3128;Tadorne de Belon;2003;8;9
3129;Tournepierre à collier;2003;8;60
3130;Barge rousse;2004;8;21
3131;Bécasseau maubèche;2004;8;1
3132;Bécasseau variable;2004;8;36
3133;Canard colvert;2004;8;180
3134;Canard souchet;2004;8;6
3135;Courlis cendré;2004;8;509
3136;Grand Gravelot;2004;8;19
3137;Huîtrier pie;2004;8;821
3138;Macreuse noire;2004;8;8,5
3139;Pluvier argenté;2004;8;10
3140;Tadorne de Belon;2004;8;15
3141;Tournepierre à collier;2004;8;6
3142;Barge rousse;2005;8;205
3143;Bécasseau variable;2005;8;75
3144;Bernache cravant;2005;8;1
3145;Canard colvert;2005;8;190
3146;Canard souchet;2005;8;7
3147;Courlis cendré;2005;8;513
3148;Grand Gravelot;2005;8;3
3149;Huîtrier pie;2005;8;1238
3150;Macreuse noire;2005;8;26
3151;Pluvier argenté;2005;8;47,5
3152;Sarcelle d'hiver;2005;8;30
3153;Tadorne de Belon;2005;8;9
3154;Tournepierre à collier;2005;8;2
3155;Barge rousse;2006;8;25
3156;Bécasseau sanderling;2006;8;18
3157;Bécasseau variable;2006;8;213
3158;Canard colvert;2006;8;329
3159;Canard siffleur;2006;8;3
3160;Courlis cendré;2006;8;810
3161;Grand Gravelot;2006;8;229
3162;Huîtrier pie;2006;8;1919
3163;Macreuse noire;2006;8;72
3164;Pluvier argenté;2006;8;94
3165;Tournepierre à collier;2006;8;32
3166;Barge rousse;2007;8;65
3167;Bécasseau maubèche;2007;8;100
3168;Bécasseau variable;2007;8;212
3169;Canard colvert;2007;8;326
3170;Courlis cendré;2007;8;542
3171;Grand Gravelot;2007;8;104
3172;Huîtrier pie;2007;8;842
3173;Macreuse noire;2007;8;45
3174;Pluvier argenté;2007;8;45
3175;Sarcelle d'hiver;2007;8;3
3176;Tadorne de Belon;2007;8;6
3177;Tournepierre à collier;2007;8;40
3178;Barge rousse;2008;8;24
3179;Bécasseau sanderling;2008;8;114
3180;Bécasseau variable;2008;8;613
3181;Canard chipeau;2008;8;7
3182;Canard colvert;2008;8;183
3183;Courlis cendré;2008;8;606
3184;Grand Gravelot;2008;8;80
3185;Huîtrier pie;2008;8;695
3186;Pluvier argenté;2008;8;2
3187;Tadorne de Belon;2008;8;10
3188;Tournepierre à collier;2008;8;27
3189;Barge rousse;2009;8;60
3190;Bécasseau sanderling;2009;8;12
3191;Bécasseau variable;2009;8;57
3192;Canard colvert;2009;8;178
3193;Courlis cendré;2009;8;457
3194;Grand Gravelot;2009;8;89
3195;Huîtrier pie;2009;8;1343
3196;Pluvier argenté;2009;8;55
3197;Tadorne de Belon;2009;8;23
3198;Tournepierre à collier;2009;8;36
3199;Barge rousse;2010;8;46,5
3200;Bécasseau maubèche;2010;8;7
3201;Bécasseau sanderling;2010;8;249
3202;Bécasseau variable;2010;8;59
3203;Canard colvert;2010;8;224
3204;Courlis cendré;2010;8;668
3205;Grand Gravelot;2010;8;86,5
3206;Huîtrier pie;2010;8;1421
3207;Macreuse noire;2010;8;12
3208;Pluvier argenté;2010;8;36
3209;Tadorne de Belon;2010;8;8
3210;Tournepierre à collier;2010;8;1
3211;Barge rousse;2011;8;31
3212;Bécasseau maubèche;2011;8;26
3213;Bécasseau sanderling;2011;8;133
3214;Bécasseau variable;2011;8;45
3215;Canard colvert;2011;8;204
3216;Courlis cendré;2011;8;890
3217;Grand Gravelot;2011;8;173
3218;Huîtrier pie;2011;8;1411
3219;Macreuse noire;2011;8;14
3220;Pluvier argenté;2011;8;30
3221;Tadorne de Belon;2011;8;9
3222;Tournepierre à collier;2011;8;28
3223;Barge rousse;2012;8;40,5
3224;Bécasseau maubèche;2012;8;169,5
3225;Bécasseau sanderling;2012;8;408
3226;Bécasseau variable;2012;8;459
3227;Canard colvert;2012;8;202,5
3228;Canard souchet;2012;8;3
3229;Courlis cendré;2012;8;876
3230;Grand Gravelot;2012;8;268
3231;Huîtrier pie;2012;8;1705,5
3232;Pluvier argenté;2012;8;62,33333333
3233;Sarcelle d'hiver;2012;8;1,5
3234;Tadorne de Belon;2012;8;45,5
3235;Tournepierre à collier;2012;8;5,5
3236;Barge rousse;2013;8;5
3237;Bécasseau sanderling;2013;8;38,5
3238;Bécasseau variable;2013;8;17
3239;Canard colvert;2013;8;141
3240;Courlis cendré;2013;8;1103
3241;Grand Gravelot;2013;8;219
3242;Huîtrier pie;2013;8;1613
3243;Pluvier argenté;2013;8;33
3244;Tadorne de Belon;2013;8;28
3245;Tournepierre à collier;2013;8;18,5
3246;Bécasseau sanderling;2014;8;326
3247;Bécasseau variable;2014;8;16,5
3248;Canard colvert;2014;8;109,5
3249;Courlis cendré;2014;8;1131,5
3250;Grand Gravelot;2014;8;17
3251;Huîtrier pie;2014;8;1209,5
3252;Macreuse noire;2014;8;40
3253;Pluvier argenté;2014;8;12
3254;Sarcelle d'hiver;2014;8;3
3255;Tadorne de Belon;2014;8;23
3256;Tournepierre à collier;2014;8;8
3257;Barge rousse;2015;8;1
3258;Bécasseau maubèche;2015;8;15
3259;Bécasseau sanderling;2015;8;67
3260;Bécasseau variable;2015;8;270
3261;Canard colvert;2015;8;220,5
3262;Courlis cendré;2015;8;954
3263;Grand Gravelot;2015;8;60
3264;Huîtrier pie;2015;8;1309,5
3265;Macreuse noire;2015;8;13
3266;Tadorne de Belon;2015;8;18
3267;Tournepierre à collier;2015;8;29
3268;Barge rousse;2016;8;15
3269;Bécasseau maubèche;2016;8;36
3270;Bécasseau sanderling;2016;8;135,5
3271;Bécasseau variable;2016;8;110,5
3272;Canard colvert;2016;8;195,5
3273;Courlis cendré;2016;8;1068,5
3274;Grand Gravelot;2016;8;21,5
3275;Huîtrier pie;2016;8;2162
3276;Pluvier argenté;2016;8;8
3277;Tadorne de Belon;2016;8;41
3278;Tournepierre à collier;2016;8;9,5
3279;Barge rousse;2017;8;15
3280;Bécasseau sanderling;2017;8;83,5
3281;Bécasseau variable;2017;8;196
3282;Canard colvert;2017;8;103,5
3283;Courlis cendré;2017;8;971,5
3284;Grand Gravelot;2017;8;67
3285;Huîtrier pie;2017;8;1164
3286;Macreuse noire;2017;8;35
3287;Pluvier argenté;2017;8;1
3288;Tadorne de Belon;2017;8;17,5
3289;Barge rousse;2018;8;16
3290;Bécasseau maubèche;2018;8;6
3291;Bécasseau variable;2018;8;195
3292;Canard colvert;2018;8;316
3293;Courlis cendré;2018;8;944
3294;Grand Gravelot;2018;8;183
3295;Huîtrier pie;2018;8;768
3296;Macreuse noire;2018;8;10
3297;Tadorne de Belon;2018;8;59
3298;Tournepierre à collier;2018;8;2
3299;Barge rousse;2019;8;6
3300;Bécasseau maubèche;2019;8;40
3301;Bécasseau sanderling;2019;8;301
3302;Bécasseau variable;2019;8;240
3303;Bernache cravant;2019;8;1,5
3304;Canard colvert;2019;8;349,5
3305;Courlis cendré;2019;8;785
3306;Grand Gravelot;2019;8;110
3307;Huîtrier pie;2019;8;1270,5
3308;Pluvier argenté;2019;8;2
3309;Tadorne de Belon;2019;8;24
3310;Tournepierre à collier;2019;8;3
3311;Bécasseau maubèche;2020;8;31
3312;Bécasseau sanderling;2020;8;81
3313;Bécasseau variable;2020;8;165
3314;Canard colvert;2020;8;370
3315;Canard souchet;2020;8;4
3316;Courlis cendré;2020;8;846,5
3317;Grand Gravelot;2020;8;68
3318;Huîtrier pie;2020;8;1318,5
3319;Macreuse noire;2020;8;12
3320;Pluvier argenté;2020;8;5,666666667
3321;Sarcelle d'hiver;2020;8;2
3322;Tadorne de Belon;2020;8;24
3323;Barge rousse;2021;8;6
3324;Bécasseau maubèche;2021;8;26
3325;Bécasseau sanderling;2021;8;111,5
3326;Bécasseau variable;2021;8;6
3327;Canard colvert;2021;8;344
3328;Canard souchet;2021;8;4
3329;Courlis cendré;2021;8;1025,5
3330;Grand Gravelot;2021;8;35
3331;Huîtrier pie;2021;8;1636
3332;Pluvier argenté;2021;8;6
3333;Tadorne de Belon;2021;8;44
3334;Tournepierre à collier;2021;8;1
3335;Barge rousse;2022;8;6,5
3336;Bécasseau maubèche;2022;8;1
3337;Bécasseau sanderling;2022;8;351
3338;Bécasseau variable;2022;8;62,5
3339;Bernache cravant;2022;8;1
3340;Canard colvert;2022;8;188,5
3341;Courlis cendré;2022;8;889
3342;Grand Gravelot;2022;8;46
3343;Huîtrier pie;2022;8;1503
3344;Pluvier argenté;2022;8;8
3345;Tadorne de Belon;2022;8;26
3346;Tournepierre à collier;2022;8;1
3347;Barge rousse;2023;8;4,5
3348;Bécasseau maubèche;2023;8;7
3349;Bécasseau sanderling;2023;8;746
3350;Bécasseau variable;2023;8;367,3333333
3351;Canard colvert;2023;8;332
3352;Courlis cendré;2023;8;1150
3353;Grand Gravelot;2023;8;15,5
3354;Huîtrier pie;2023;8;1440,5
3355;Macreuse noire;2023;8;30,5
3356;Pluvier argenté;2023;8;16
3357;Sarcelle d'hiver;2023;8;2
3358;Tadorne de Belon;2023;8;23
3359;Tournepierre à collier;2023;8;27
3360;Barge rousse;2024;8;17
3361;Bécasseau maubèche;2024;8;9,5
3362;Bécasseau sanderling;2024;8;393,5
3363;Bécasseau variable;2024;8;27,5
3364;Canard colvert;2024;8;403,5
3365;Courlis cendré;2024;8;1013,5
3366;Grand Gravelot;2024;8;15
3367;Huîtrier pie;2024;8;995
3368;Pluvier argenté;2024;8;7,5
3369;Tadorne de Belon;2024;8;21
3476;Barge rousse;2000;9;211
3477;Bécasseau maubèche;2000;9;120
3478;Bécasseau sanderling;2000;9;97
3479;Bécasseau variable;2000;9;320
3480;Bernache cravant;2000;9;5
3481;Canard colvert;2000;9;530
3482;Canard pilet;2000;9;5
3483;Canard siffleur;2000;9;32
3484;Canard souchet;2000;9;1
3485;Courlis cendré;2000;9;407
3486;Grand Gravelot;2000;9;207
3487;Huîtrier pie;2000;9;1850
3488;Macreuse noire;2000;9;55
3489;Pluvier argenté;2000;9;110
3490;Tadorne de Belon;2000;9;4
3491;Tournepierre à collier;2000;9;61
3492;Barge rousse;2001;9;179,6
3493;Bécasseau maubèche;2001;9;26,33333333
3494;Bécasseau sanderling;2001;9;149,75
3495;Bécasseau variable;2001;9;86,25
3496;Bernache cravant;2001;9;1
3497;Canard colvert;2001;9;447,5
3498;Canard pilet;2001;9;2,75
3499;Canard siffleur;2001;9;23,5
3500;Canard souchet;2001;9;4
3501;Courlis cendré;2001;9;327,5
3502;Grand Gravelot;2001;9;128,5
3503;Huîtrier pie;2001;9;1460
3504;Pluvier argenté;2001;9;75,8
3505;Sarcelle d'hiver;2001;9;4
3506;Tadorne de Belon;2001;9;12
3507;Tournepierre à collier;2001;9;35,25
3508;Barge rousse;2002;9;115
3509;Bécasseau maubèche;2002;9;400
3510;Bécasseau sanderling;2002;9;320
3511;Bécasseau variable;2002;9;100
3512;Bernache cravant;2002;9;1
3513;Canard colvert;2002;9;600
3514;Canard pilet;2002;9;7
3515;Canard siffleur;2002;9;100
3516;Canard souchet;2002;9;3,5
3517;Courlis cendré;2002;9;430
3518;Grand Gravelot;2002;9;420
3519;Huîtrier pie;2002;9;1392
3520;Macreuse noire;2002;9;20
3521;Pluvier argenté;2002;9;80
3522;Sarcelle d'hiver;2002;9;50
3523;Tournepierre à collier;2002;9;60
3524;Barge rousse;2003;9;73,5
3525;Bécasseau maubèche;2003;9;43,5
3526;Bécasseau sanderling;2003;9;24
3527;Bécasseau variable;2003;9;4
3528;Canard chipeau;2003;9;1
3529;Canard colvert;2003;9;530
3530;Canard pilet;2003;9;4
3531;Canard siffleur;2003;9;51
3532;Canard souchet;2003;9;4
3533;Courlis cendré;2003;9;500
3534;Grand Gravelot;2003;9;22
3535;Huîtrier pie;2003;9;1122,5
3536;Macreuse noire;2003;9;117
3537;Pluvier argenté;2003;9;48
3538;Sarcelle d'hiver;2003;9;25,5
3539;Tadorne de Belon;2003;9;7
3540;Tournepierre à collier;2003;9;5
3541;Barge rousse;2004;9;95
3542;Bécasseau maubèche;2004;9;12
3543;Bécasseau sanderling;2004;9;5
3544;Bécasseau variable;2004;9;170
3545;Canard chipeau;2004;9;1
3546;Canard colvert;2004;9;596
3547;Canard pilet;2004;9;8,2
3548;Canard siffleur;2004;9;74
3549;Canard souchet;2004;9;4
3550;Courlis cendré;2004;9;510
3551;Grand Gravelot;2004;9;37
3552;Huîtrier pie;2004;9;1370
3553;Macreuse noire;2004;9;25
3554;Pluvier argenté;2004;9;50
3555;Tadorne de Belon;2004;9;11
3556;Tournepierre à collier;2004;9;2
3557;Barge rousse;2005;9;86
3558;Bécasseau maubèche;2005;9;73
3559;Bécasseau sanderling;2005;9;27,5
3560;Bécasseau variable;2005;9;296
3561;Bernache cravant;2005;9;3
3562;Canard chipeau;2005;9;1
3563;Canard colvert;2005;9;282
3564;Canard pilet;2005;9;6,5
3565;Canard siffleur;2005;9;43,5
3566;Canard souchet;2005;9;10,5
3567;Courlis cendré;2005;9;570
3568;Grand Gravelot;2005;9;14,5
3569;Huîtrier pie;2005;9;2212
3570;Macreuse noire;2005;9;122,6666667
3571;Pluvier argenté;2005;9;127,5
3572;Sarcelle d'hiver;2005;9;5,5
3573;Tadorne de Belon;2005;9;5,5
3574;Tournepierre à collier;2005;9;2
3575;Barge rousse;2006;9;61
3576;Bécasseau maubèche;2006;9;73
3577;Bécasseau sanderling;2006;9;7
3578;Bécasseau variable;2006;9;215,5
3579;Bernache cravant;2006;9;21
3580;Canard colvert;2006;9;286,5
3581;Canard pilet;2006;9;7,5
3582;Canard siffleur;2006;9;51,5
3583;Canard souchet;2006;9;1
3584;Courlis cendré;2006;9;477
3585;Grand Gravelot;2006;9;109
3586;Huîtrier pie;2006;9;1692,5
3587;Macreuse noire;2006;9;150
3588;Pluvier argenté;2006;9;83,66666667
3589;Sarcelle d'hiver;2006;9;2
3590;Tadorne de Belon;2006;9;14
3591;Tournepierre à collier;2006;9;10
3592;Barge rousse;2007;9;69,5
3593;Bécasseau maubèche;2007;9;250
3594;Bécasseau sanderling;2007;9;46,5
3595;Bécasseau variable;2007;9;295
3596;Canard chipeau;2007;9;2
3597;Canard colvert;2007;9;427,5
3598;Canard pilet;2007;9;15
3599;Canard siffleur;2007;9;22
3600;Canard souchet;2007;9;1
3601;Courlis cendré;2007;9;747
3602;Grand Gravelot;2007;9;126
3603;Huîtrier pie;2007;9;1495,5
3604;Macreuse noire;2007;9;20
3605;Pluvier argenté;2007;9;104
3606;Sarcelle d'hiver;2007;9;1
3607;Tadorne de Belon;2007;9;2,5
3608;Tournepierre à collier;2007;9;26,5
3609;Barge rousse;2008;9;65
3610;Bécasseau maubèche;2008;9;60
3611;Bécasseau sanderling;2008;9;141,3333333
3612;Bécasseau variable;2008;9;169,3333333
3613;Bernache cravant;2008;9;3
3614;Canard colvert;2008;9;355
3615;Canard pilet;2008;9;17
3616;Canard siffleur;2008;9;55
3617;Courlis cendré;2008;9;720,5
3618;Grand Gravelot;2008;9;178,6666667
3619;Huîtrier pie;2008;9;1612,5
3620;Macreuse noire;2008;9;23
3621;Pluvier argenté;2008;9;143,3333333
3622;Tadorne de Belon;2008;9;8,333333333
3623;Tournepierre à collier;2008;9;133,5
3624;Barge rousse;2009;9;187
3625;Bécasseau maubèche;2009;9;53
3626;Bécasseau sanderling;2009;9;30
3627;Bécasseau variable;2009;9;50
3628;Canard colvert;2009;9;90
3629;Canard pilet;2009;9;20
3630;Canard siffleur;2009;9;78,5
3631;Canard souchet;2009;9;2
3632;Courlis cendré;2009;9;749
3633;Grand Gravelot;2009;9;86
3634;Huîtrier pie;2009;9;2017
3635;Macreuse noire;2009;9;150
3636;Pluvier argenté;2009;9;162
3637;Sarcelle d'hiver;2009;9;4
3638;Tadorne de Belon;2009;9;3
3639;Tournepierre à collier;2009;9;17
3640;Barge rousse;2010;9;118,3333333
3641;Bécasseau maubèche;2010;9;36,33333333
3642;Bécasseau sanderling;2010;9;53,5
3643;Bécasseau variable;2010;9;109,3333333
3644;Bernache cravant;2010;9;1
3645;Canard colvert;2010;9;235
3646;Canard pilet;2010;9;2
3647;Canard siffleur;2010;9;5,333333333
3648;Courlis cendré;2010;9;707
3649;Grand Gravelot;2010;9;288
3650;Huîtrier pie;2010;9;1511
3651;Macreuse noire;2010;9;30
3652;Pluvier argenté;2010;9;83
3653;Sarcelle d'hiver;2010;9;8,333333333
3654;Tadorne de Belon;2010;9;13
3655;Tournepierre à collier;2010;9;5
3656;Barge rousse;2011;9;200
3657;Bécasseau maubèche;2011;9;136
3658;Bécasseau variable;2011;9;42
3659;Bernache cravant;2011;9;13,33333333
3660;Canard chipeau;2011;9;1
3661;Canard colvert;2011;9;167
3662;Canard pilet;2011;9;1
3663;Canard siffleur;2011;9;22,5
3664;Canard souchet;2011;9;25
3665;Courlis cendré;2011;9;677
3666;Grand Gravelot;2011;9;32
3667;Huîtrier pie;2011;9;2387
3668;Pluvier argenté;2011;9;100
3669;Sarcelle d'hiver;2011;9;17
3670;Tadorne de Belon;2011;9;4
3671;Tournepierre à collier;2011;9;4
3672;Barge rousse;2012;9;196
3673;Bécasseau maubèche;2012;9;108
3674;Bécasseau sanderling;2012;9;466
3675;Bécasseau variable;2012;9;57
3676;Canard colvert;2012;9;147,5
3677;Canard siffleur;2012;9;43
3678;Courlis cendré;2012;9;1019
3679;Grand Gravelot;2012;9;336,5
3680;Huîtrier pie;2012;9;2018
3681;Macreuse noire;2012;9;225
3682;Pluvier argenté;2012;9;80
3683;Sarcelle d'hiver;2012;9;8
3684;Tadorne de Belon;2012;9;14
3685;Tournepierre à collier;2012;9;103,5
3686;Barge rousse;2013;9;216
3687;Bécasseau maubèche;2013;9;113
3688;Bécasseau sanderling;2013;9;237,3333333
3689;Bécasseau variable;2013;9;88,5
3690;Bernache cravant;2013;9;136
3691;Canard colvert;2013;9;208,5
3692;Canard pilet;2013;9;71
3693;Canard siffleur;2013;9;220
3694;Canard souchet;2013;9;29,66666667
3695;Courlis cendré;2013;9;1037
3696;Grand Gravelot;2013;9;84
3697;Huîtrier pie;2013;9;1943
3698;Macreuse noire;2013;9;257,6666667
3699;Pluvier argenté;2013;9;109
3700;Sarcelle d'hiver;2013;9;79
3701;Tadorne de Belon;2013;9;14,5
3702;Tournepierre à collier;2013;9;127
3703;Barge rousse;2014;9;44,5
3704;Bécasseau maubèche;2014;9;11
3705;Bécasseau sanderling;2014;9;72,5
3706;Bécasseau variable;2014;9;31,5
3707;Bernache cravant;2014;9;34
3708;Canard colvert;2014;9;121
3709;Canard pilet;2014;9;2
3710;Canard siffleur;2014;9;4,5
3711;Courlis cendré;2014;9;1100
3712;Huîtrier pie;2014;9;1235
3713;Pluvier argenté;2014;9;16
3714;Sarcelle d'hiver;2014;9;1
3715;Tadorne de Belon;2014;9;6
3716;Tournepierre à collier;2014;9;22,5
3717;Barge rousse;2015;9;5
3718;Bécasseau maubèche;2015;9;33
3719;Bécasseau sanderling;2015;9;231,5
3720;Bécasseau variable;2015;9;188,5
3721;Bernache cravant;2015;9;7
3722;Canard chipeau;2015;9;6
3723;Canard colvert;2015;9;229,5
3724;Canard pilet;2015;9;10
3725;Canard siffleur;2015;9;15
3726;Canard souchet;2015;9;11
3727;Courlis cendré;2015;9;1154,5
3728;Grand Gravelot;2015;9;127,5
3729;Huîtrier pie;2015;9;2515
3730;Macreuse noire;2015;9;20
3731;Pluvier argenté;2015;9;23
3732;Sarcelle d'hiver;2015;9;7
3733;Tadorne de Belon;2015;9;13,5
3734;Tournepierre à collier;2015;9;41
3735;Barge rousse;2016;9;118,5
3736;Bécasseau maubèche;2016;9;132,5
3737;Bécasseau sanderling;2016;9;249
3738;Bécasseau variable;2016;9;154,5
3739;Bernache cravant;2016;9;4
3740;Canard colvert;2016;9;249
3741;Canard pilet;2016;9;8
3742;Canard siffleur;2016;9;21
3743;Courlis cendré;2016;9;1020
3744;Grand Gravelot;2016;9;156
3745;Huîtrier pie;2016;9;1590,5
3746;Macreuse noire;2016;9;111,5
3747;Pluvier argenté;2016;9;7
3748;Tadorne de Belon;2016;9;20
3749;Tournepierre à collier;2016;9;10,5
3750;Barge rousse;2017;9;47
3751;Bécasseau maubèche;2017;9;15
3752;Bécasseau sanderling;2017;9;169
3753;Bécasseau variable;2017;9;128,5
3754;Bernache cravant;2017;9;22
3755;Canard chipeau;2017;9;2
3756;Canard colvert;2017;9;265,5
3757;Canard siffleur;2017;9;35
3758;Canard souchet;2017;9;15
3759;Courlis cendré;2017;9;902,5
3760;Grand Gravelot;2017;9;116
3761;Huîtrier pie;2017;9;1996,5
3762;Macreuse noire;2017;9;8,5
3763;Pluvier argenté;2017;9;17
3764;Sarcelle d'hiver;2017;9;3
3765;Tadorne de Belon;2017;9;20
3766;Tournepierre à collier;2017;9;6
3767;Barge rousse;2018;9;10,5
3768;Bécasseau sanderling;2018;9;69
3769;Bécasseau variable;2018;9;79
3770;Canard chipeau;2018;9;1
3771;Canard colvert;2018;9;452,5
3772;Canard siffleur;2018;9;10
3773;Courlis cendré;2018;9;927
3774;Grand Gravelot;2018;9;150
3775;Huîtrier pie;2018;9;1809,5
3776;Macreuse noire;2018;9;122,5
3777;Tadorne de Belon;2018;9;23,5
3778;Tournepierre à collier;2018;9;4
3779;Barge rousse;2019;9;43
3780;Bécasseau maubèche;2019;9;49
3781;Bécasseau sanderling;2019;9;234
3782;Bécasseau variable;2019;9;58,5
3783;Bernache cravant;2019;9;3,666666667
3784;Canard colvert;2019;9;327,5
3785;Canard pilet;2019;9;3
3786;Canard siffleur;2019;9;60
3787;Canard souchet;2019;9;2
3788;Courlis cendré;2019;9;918
3789;Grand Gravelot;2019;9;132,5
3790;Huîtrier pie;2019;9;1939,5
3791;Macreuse noire;2019;9;43
3792;Pluvier argenté;2019;9;5
3793;Sarcelle d'hiver;2019;9;20
3794;Tadorne de Belon;2019;9;29
3795;Tournepierre à collier;2019;9;2,5
3796;Barge rousse;2020;9;46
3797;Bécasseau maubèche;2020;9;173,5
3798;Bécasseau sanderling;2020;9;205
3799;Bécasseau variable;2020;9;95,5
3800;Bernache cravant;2020;9;7
3801;Canard colvert;2020;9;316
3802;Canard pilet;2020;9;6,333333333
3803;Canard siffleur;2020;9;33,33333333
3804;Canard souchet;2020;9;5
3805;Courlis cendré;2020;9;876,5
3806;Grand Gravelot;2020;9;124
3807;Huîtrier pie;2020;9;2009,5
3808;Pluvier argenté;2020;9;14
3809;Sarcelle d'hiver;2020;9;60
3810;Tadorne de Belon;2020;9;15
3811;Tournepierre à collier;2020;9;5
3812;Barge rousse;2021;9;139
3813;Bécasseau maubèche;2021;9;2
3814;Bécasseau sanderling;2021;9;61
3815;Bécasseau variable;2021;9;129
3816;Bernache cravant;2021;9;10,5
3817;Canard chipeau;2021;9;1
3818;Canard colvert;2021;9;270,5
3819;Canard pilet;2021;9;26
3820;Canard siffleur;2021;9;7,666666667
3821;Canard souchet;2021;9;11
3822;Courlis cendré;2021;9;914,5
3823;Grand Gravelot;2021;9;77,5
3824;Huîtrier pie;2021;9;2365,5
3825;Macreuse noire;2021;9;99,5
3826;Pluvier argenté;2021;9;29,5
3827;Sarcelle d'hiver;2021;9;4
3828;Tadorne de Belon;2021;9;19
3829;Tournepierre à collier;2021;9;1
3830;Barge rousse;2022;9;152
3831;Bécasseau maubèche;2022;9;65,5
3832;Bécasseau sanderling;2022;9;877,6666667
3833;Bécasseau variable;2022;9;427
3834;Bernache cravant;2022;9;28
3835;Canard colvert;2022;9;347,5
3836;Canard pilet;2022;9;6
3837;Canard siffleur;2022;9;6
3838;Courlis cendré;2022;9;1015,5
3839;Grand Gravelot;2022;9;29
3840;Huîtrier pie;2022;9;1949,5
3841;Pluvier argenté;2022;9;11
3842;Sarcelle d'hiver;2022;9;3
3843;Tadorne de Belon;2022;9;16,5
3844;Tournepierre à collier;2022;9;2
3845;Barge rousse;2023;9;59
3846;Bécasseau maubèche;2023;9;18,5
3847;Bécasseau sanderling;2023;9;471,5
3848;Bécasseau variable;2023;9;149
3849;Bernache cravant;2023;9;9
3850;Canard colvert;2023;9;260,5
3851;Canard siffleur;2023;9;11
3852;Canard souchet;2023;9;1
3853;Courlis cendré;2023;9;1263,5
3854;Grand Gravelot;2023;9;136,5
3855;Huîtrier pie;2023;9;1684
3856;Macreuse noire;2023;9;52,5
3857;Pluvier argenté;2023;9;5,5
3858;Tadorne de Belon;2023;9;10,5
3859;Tournepierre à collier;2023;9;7,5
3860;Barge rousse;2024;9;10,5
3861;Bécasseau maubèche;2024;9;31,66666667
3862;Bécasseau sanderling;2024;9;269,5
3863;Bécasseau variable;2024;9;13
3864;Bernache cravant;2024;9;8
3865;Canard colvert;2024;9;242,5
3866;Canard pilet;2024;9;6
3867;Canard siffleur;2024;9;23
3868;Canard souchet;2024;9;8
3869;Courlis cendré;2024;9;1048,5
3870;Grand Gravelot;2024;9;91
3871;Huîtrier pie;2024;9;1735
3872;Macreuse noire;2024;9;67
3873;Pluvier argenté;2024;9;8,5
3874;Sarcelle d'hiver;2024;9;4
3875;Tadorne de Belon;2024;9;39,5
3876;Tournepierre à collier;2024;9;33
4027;Barge rousse;2000;10;125,5
4028;Bécasseau sanderling;2000;10;1
4029;Bécasseau variable;2000;10;70
4030;Bernache cravant;2000;10;788
4031;Canard colvert;2000;10;818,5
4032;Canard pilet;2000;10;4
4033;Canard siffleur;2000;10;560
4034;Canard souchet;2000;10;3
4035;Courlis cendré;2000;10;269,5
4036;Grand Gravelot;2000;10;126,5
4037;Huîtrier pie;2000;10;1796,5
4038;Macreuse noire;2000;10;275
4039;Pluvier argenté;2000;10;41,5
4040;Sarcelle d'hiver;2000;10;48
4041;Tadorne de Belon;2000;10;95
4042;Tournepierre à collier;2000;10;32
4043;Barge rousse;2001;10;191,5
4044;Bécasseau maubèche;2001;10;20
4045;Bécasseau sanderling;2001;10;109
4046;Bécasseau variable;2001;10;79,5
4047;Bernache cravant;2001;10;497
4048;Canard chipeau;2001;10;2
4049;Canard colvert;2001;10;575
4050;Canard pilet;2001;10;67,66666667
4051;Canard siffleur;2001;10;197
4052;Canard souchet;2001;10;16,16666667
4053;Courlis cendré;2001;10;385
4054;Grand Gravelot;2001;10;10
4055;Huîtrier pie;2001;10;1740
4056;Macreuse noire;2001;10;545
4057;Pluvier argenté;2001;10;127,5
4058;Sarcelle d'hiver;2001;10;57
4059;Tadorne de Belon;2001;10;20
4060;Tournepierre à collier;2001;10;40
4061;Barge rousse;2002;10;90
4062;Bécasseau sanderling;2002;10;63
4063;Bécasseau variable;2002;10;29
4064;Bernache cravant;2002;10;303
4065;Canard colvert;2002;10;362
4066;Canard pilet;2002;10;27
4067;Canard siffleur;2002;10;330
4068;Canard souchet;2002;10;6,5
4069;Courlis cendré;2002;10;435
4070;Huîtrier pie;2002;10;1537
4071;Macreuse noire;2002;10;312,5
4072;Pluvier argenté;2002;10;15
4073;Sarcelle d'hiver;2002;10;35
4074;Tadorne de Belon;2002;10;9
4075;Tournepierre à collier;2002;10;2
4076;Barge rousse;2003;10;180
4077;Bécasseau maubèche;2003;10;150
4078;Bécasseau sanderling;2003;10;88
4079;Bécasseau variable;2003;10;1000
4080;Canard chipeau;2003;10;3,2
4081;Canard pilet;2003;10;41,33333333
4082;Canard souchet;2003;10;11,66666667
4083;Huîtrier pie;2003;10;1375
